Name,Latitude,Longitude,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BMU,32.2949,-64.78303,4,6,8,8,8,10,10,13,14,14,18,19,20,20,23,23,27,34,35,39,44,47,52,54,57,63,65,67,74,75,84,85,85,96,97,99
BOL,-17,-65,2,6,6,8,10,10,11,13,15,16,16,22,23,26,27,35,39,42,44,52,53,55,58,66,69,69,70,71,71,76,76,81,87,93,97,99
BOL,-17,-65,2,4,6,10,11,19,19,19,21,30,33,34,37,38,40,40,41,42,43,43,52,55,63,64,66,66,69,70,71,71,76,78,87,94,94,98
BRA,-10,-55,3,5,5,14,17,18,20,21,21,23,27,36,36,37,40,42,45,51,52,53,55,56,59,66,68,69,74,86,88,89,89,89,92,92,93,94
BRB,13.16667,-59.53333,1,1,3,3,3,4,9,10,14,15,17,21,23,24,26,28,29,30,32,40,43,46,49,61,62,67,67,68,71,71,76,80,84,85,87,97
BRN,4.5,114.66667,4,4,14,20,21,22,26,26,28,29,33,34,36,37,42,46,50,50,52,53,56,56,56,57,61,66,73,79,79,84,88,90,92,95,97,99
BRN,4.5,114.66667,2,4,7,9,10,11,12,14,19,21,22,28,29,30,35,37,37,37,45,47,49,56,57,58,59,59,67,77,77,80,80,89,92,92,93,97
BTN,27.5,90.5,5,6,7,8,8,21,21,22,24,25,29,31,32,34,34,36,37,41,44,44,46,50,54,54,56,60,81,81,81,83,83,89,93,95,95,97
BVT,,,3,4,5,7,8,12,16,17,18,25,27,33,43,46,48,57,58,61,63,66,70,75,76,76,76,78,81,85,88,92,93,94,96,96,99,99
BWA,-22,24,3,5,5,13,14,15,18,19,22,23,27,44,48,50,51,52,52,55,58,61,62,63,65,65,67,67,71,73,73,76,77,79,80,81,94,99
CAF,7,21,1,2,3,7,11,15,15,16,18,24,30,37,37,39,40,44,46,52,54,58,61,62,62,69,69,72,73,80,80,84,86,87,88,91,95,99
CAN,60.10867,-113.64258,2,5,7,7,10,17,17,23,30,33,46,47,49,49,50,52,53,59,62,63,63,67,69,71,76,77,78,78,88,88,89,90,91,95,97,98
CCK,-12.1642,96.87332,1,3,3,5,6,9,13,21,25,26,28,31,37,41,41,49,50,50,54,60,60,61,63,64,70,71,73,73,75,87,91,91,92,97,98,99
CHE,47.00016,8.01427,1,7,8,14,16,22,25,27,28,28,30,31,32,32,35,35,41,44,49,51,52,54,56,56,59,60,66,71,77,82,86,88,92,92,96,99
CHL,-33.45694,-70.64827,13,16,18,20,21,24,24,26,29,30,31,32,38,40,41,44,45,46,49,53,53,61,62,64,65,67,73,75,75,76,76,83,91,92,95,97
CHN,35,105,1,6,8,11,12,12,14,18,19,26,26,27,28,31,32,34,34,35,36,39,53,55,55,56,56,58,58,59,67,68,72,73,80,82,94,97
CIV,8,-5.5,1,2,3,5,7,9,11,12,12,14,21,24,26,31,31,34,37,47,47,51,53,53,55,56,63,63,63,66,67,76,85,88,89,91,95,95
CIV,8,-5.5,2,5,6,11,12,13,19,20,24,32,33,42,44,45,45,46,48,50,50,51,52,57,57,61,65,66,72,72,74,79,79,79,82,82,91,92
CMR,6,12.5,3,5,9,14,14,18,18,21,24,25,28,33,36,37,38,40,42,45,47,49,50,51,52,53,57,58,62,62,63,68,70,72,76,77,81,96
COD,-2.5,23.5,3,6,8,9,13,23,24,25,26,27,28,31,34,35,45,58,63,64,65,67,70,71,75,79,79,80,80,81,91,92,93,96,96,97,97,97
COG,-1,15.5,2,4,6,7,8,10,12,13,16,17,19,21,23,35,36,36,41,42,43,47,47,48,48,60,61,61,65,74,79,85,85,85,88,91,93,96
COK,-21.24842,-159.78516,1,6,7,9,11,17,20,20,29,38,43,43,43,44,44,51,51,51,53,55,61,62,64,67,73,73,76,80,86,92,92,92,94,99,99,99
COL,4,-73.25,4,13,18,19,20,25,37,38,39,41,43,43,49,52,54,57,58,60,62,63,65,67,68,68,70,75,76,76,78,81,86,87,90,91,99,99
COM,-12.23333,44.44553,9,9,10,21,23,25,26,26,27,28,31,31,32,33,36,37,44,49,54,54,56,60,62,68,71,72,73,75,76,79,83,87,90,91,91,96
CPV,16,-24,2,3,3,4,7,10,20,22,25,27,33,35,38,41,41,41,41,44,45,50,51,51,53,55,56,58,61,61,63,67,68,69,76,78,97,98
CRI,10,-84,5,6,9,14,14,23,27,30,30,31,32,33,35,36,38,40,43,45,55,55,57,60,65,65,71,77,81,84,87,88,88,89,90,92,94,96
CUB,22,-79.5,1,4,7,7,10,14,15,20,24,27,29,32,33,36,39,42,48,51,52,53,53,57,62,63,66,67,74,75,75,78,79,80,84,89,92,95
CXR,-10.5,105.66667,1,5,6,7,12,16,18,20,24,25,32,32,36,37,37,37,49,49,49,52,53,53,58,66,75,77,77,82,83,88,90,91,91,92,94,97
CYM,19.5,-80.66667,3,3,8,9,10,13,14,23,27,28,32,33,33,33,38,39,46,53,56,57,57,64,68,70,71,72,74,75,78,80,82,86,87,91,91,93
CYP,35,33,1,5,7,7,13,20,21,21,23,24,27,27,28,29,30,39,41,43,44,55,60,62,66,66,70,70,71,72,78,83,83,84,87,88,89,98
CZE,49.75,15,6,11,11,15,21,23,26,28,30,32,33,37,44,45,46,46,48,56,57,58,58,58,62,68,70,71,75,77,83,85,87,89,90,92,93,96
DEU,50.57622939562839,9.414370262361228,2,2,5,9,9,10,15,18,22,24,26,28,29,33,37,40,44,47,48,50,51,51,53,54,55,56,60,62,63,74,83,85,86,89,89,98
DJI,11.58901,43.14503,5,7,9,10,15,18,21,28,29,36,41,42,42,44,45,56,60,64,64,69,71,76,76,76,77,81,82,83,84,86,87,93,94,96,96,96
DMA,15.5,-61.33333,7,7,8,9,9,15,15,15,21,31,34,34,42,44,49,49,51,52,53,53,56,61,65,67,69,71,74,74,75,75,75,87,88,92,97,98
DNK,56,10,1,1,3,4,4,4,5,7,8,9,14,17,19,22,22,26,27,27,29,38,39,41,47,53,54,57,59,60,68,74,75,75,82,89,94,96
DOM,19,-70.66667,1,2,3,3,6,6,8,8,9,10,12,16,23,24,31,32,33,33,34,35,36,42,47,48,50,51,58,61,69,76,77,78,81,85,96,97
DZA,28,3,8,15,15,18,21,22,26,27,31,31,35,44,49,49,50,51,52,52,53,59,62,64,68,70,70,76,78,79,81,85,86,88,93,95,98,99
ECU,-1.25,-78.25,1,5,5,12,14,18,21,22,24,26,29,34,36,37,40,45,51,53,54,58,60,61,62,69,73,75,75,77,78,81,83,84,85,90,91,94
EGY,27,30,4,7,8,8,9,11,17,26,31,31,31,38,40,41,45,47,49,49,50,50,59,59,59,59,63,63,64,64,73,74,83,84,86,89,91,93
ERI,15,39,3,4,6,7,11,16,17,23,24,26,28,37,41,41,41,41,42,44,51,53,56,61,64,67,69,72,78,79,85,86,87,88,90,90,94,95
ESH,24.49215,-12.65625,1,4,7,7,10,14,16,21,22,29,29,36,37,38,41,42,43,44,47,50,53,53,53,56,60,66,67,75,76,81,83,83,91,92,93,98
ESP,40,-4,5,5,9,12,13,17,28,34,38,43,44,45,48,49,51,56,56,58,60,60,64,65,72,73,73,74,78,80,81,84,86,90,92,94,96,97
EST,59,26,9,14,16,16,24,25,31,33,34,38,41,47,47,51,53,54,55,57,58,60,73,73,75,82,84,86,86,87,88,91,92,93,94,94,95,96
ETH,9,39.5,2,7,10,11,11,13,13,23,24,25,26,31,31,34,41,43,43,44,45,46,48,53,58,59,65,67,67,72,73,76,83,87,87,90,91,93
FIN,64,26,3,7,12,16,17,25,27,29,32,33,36,37,42,43,43,46,48,49,57,59,60,60,61,62,66,70,77,80,81,85,86,88,89,92,93,98
FJI,-18,178,6,8,14,16,16,20,23,26,28,29,29,30,32,34,35,37,40,41,42,46,49,50,51,56,57,58,60,60,66,68,79,80,87,88,95,97
FLK,-51.75,-59.16667,6,10,11,14,14,15,18,22,25,26,32,33,38,39,40,41,46,47,49,53,53,53,56,57,57,63,74,74,76,78,83,91,92,93,96,99
FRA,46,2,5,7,9,11,15,18,21,27,29,35,41,41,42,42,43,44,51,65,71,71,72,72,74,75,77,79,79,80,84,89,90,93,94,98,98,99
FRO,62,-7,1,2,2,2,3,6,7,11,11,12,13,18,20,20,25,34,38,46,48,48,56,60,68,69,71,76,79,82,84,85,86,91,91,93,94,96
FSM,6.924,158.162,6,6,7,10,10,12,16,21,21,22,22,24,31,41,42,42,42,42,42,44,45,45,47,49,51,51,53,53,64,65,78,78,80,81,88,96
GAB,-1,11.75,2,3,7,8,11,12,14,16,21,23,28,29,30,33,35,37,39,42,43,44,51,57,58,59,64,66,69,70,73,75,77,83,84,92,93,96
GBR,54.75844,-2.69531,4,4,6,6,7,8,17,22,23,25,25,30,34,35,36,37,42,43,43,44,47,49,51,55,58,58,59,68,70,70,72,73,76,83,91,91
GEO,41.99998,43.4999,5,9,12,14,17,18,23,24,27,28,31,33,35,41,41,42,45,47,47,49,53,56,59,62,63,64,65,67,72,73,74,83,89,93,96,96
GGY,49.45474,-2.57629,2,7,8,8,15,18,20,28,35,37,38,38,39,41,44,45,46,46,46,46,47,47,51,53,60,63,67,70,74,77,80,84,85,95,96,99
GHA,8.1,-1.2,1,3,7,9,9,10,13,16,34,36,37,40,41,42,44,46,47,48,50,50,51,63,69,69,70,71,75,78,78,84,89,89,91,94,94,99
GIB,36.14474,-5.35257,4,4,5,7,8,8,9,10,10,12,15,18,20,26,32,33,36,38,48,48,50,56,59,62,64,78,79,79,84,85,86,87,90,92,95,95
GIN,10.83333,-10.66667,1,5,5,7,7,9,14,16,19,19,20,26,30,41,45,48,50,51,52,60,65,67,71,73,73,73,73,74,74,76,83,87,91,91,96,96
GLP,16.25,-61.58333,7,9,10,10,16,21,21,22,24,28,30,32,44,48,52,53,57,69,71,73,74,80,81,82,83,84,86,89,90,90,92,93,93,96,97,97
GMB,13.5,-15.5,3,3,3,5,9,10,12,13,16,16,19,20,22,28,33,37,44,45,47,55,57,59,65,66,69,74,78,83,84,85,91,92,93,94,95,96
GNB,12,-15,1,2,6,13,18,19,22,29,31,34,36,38,39,46,46,53,56,56,56,59,60,60,62,64,64,72,73,77,79,81,84,85,86,90,96,98
GNQ,1.7,10.5,1,4,6,8,10,12,15,16,21,29,32,33,35,37,39,40,40,40,41,41,46,55,57,57,59,63,65,70,72,76,80,84,90,92,93,96
GRC,39,22,1,2,6,9,10,13,15,17,24,29,34,35,38,38,43,43,44,49,50,51,52,54,55,56,56,57,58,60,65,66,72,74,75,82,90,96
GRD,12.11667,-61.66667,2,3,3,12,14,15,15,17,20,20,24,28,35,37,40,41,44,50,51,54,55,55,61,63,69,71,72,77,78,82,82,83,88,90,93,96
GRL,72,-40,5,7,10,11,11,13,15,17,25,28,29,29,32,36,43,45,49,51,69,71,74,74,74,74,80,84,84,84,87,87,90,91,95,97,97,97
GTM,14.64072,-90.51327,1,5,5,7,8,8,12,13,14,17,18,19,23,26,26,30,33,34,41,41,42,47,48,52,53,57,60,70,71,77,78,90,92,93,94,96
GUF,4,-53,1,7,7,15,20,21,24,30,31,32,34,34,41,44,54,56,57,59,59,60,60,61,62,63,64,65,68,80,83,84,91,92,95,96,98,98
GUM,13.47861,144.81834,1,2,7,9,17,18,18,20,24,26,28,33,33,34,37,41,45,47,48,48,52,53,56,59,64,66,66,73,74,76,79,82,85,86,87,88
GUY,5,-59,1,8,10,12,13,16,19,19,25,25,26,36,36,40,48,50,52,52,57,58,59,62,63,64,66,69,71,72,72,83,89,91,92,96,97,98
HKG,22.28552,114.15769,5,10,10,10,12,13,14,21,24,26,27,28,30,32,33,35,39,47,48,50,54,58,67,72,77,80,82,84,85,85,86,86,88,90,91,98
HMD,-53.09260552690991,73.51061831608254,8,9,13,14,17,19,21,22,22,25,26,30,39,40,40,43,46,48,60,65,66,67,70,70,71,74,75,81,84,84,85,92,93,94,97,98
HND,15,-86.5,6,7,8,10,15,16,18,20,23,26,29,35,39,39,48,49,49,51,57,58,59,59,61,63,69,71,73,74,75,83,85,87,89,98,98,99
HRV,45.16667,15.5,1,2,2,5,11,14,14,15,18,18,24,25,25,30,30,32,40,42,43,46,48,49,54,55,56,59,61,65,71,74,75,89,89,90,91,94
HTI,19,-72.41667,1,5,6,13,24,27,27,28,32,36,38,45,50,51,53,54,55,59,59,63,65,66,73,74,75,75,78,80,83,85,87,89,90,91,92,98
HUN,47,20,1,5,12,12,14,25,25,34,39,44,44,45,46,47,50,52,53,60,67,73,74,77,78,79,82,83,84,85,86,89,91,92,96,97,98,99
IDN,-5,120,4,10,15,18,23,25,25,25,29,33,33,35,49,53,57,58,59,59,61,62,64,72,73,73,75,79,86,87,89,90,90,93,93,94,97,98
IMN,54.15,-4.48333,1,8,15,17,18,25,25,27,35,36,40,42,52,55,57,57,59,60,61,61,63,64,66,67,67,72,79,80,81,84,84,87,93,93,95,95
IND,22,79,1,5,8,14,16,18,21,23,24,29,29,35,35,37,37,40,41,43,46,46,48,51,53,55,55,64,64,69,70,72,80,86,86,90,97,97
IOT,-6,72,6,6,8,14,18,19,19,19,22,28,28,32,34,34,37,37,38,42,42,47,52,53,58,58,59,59,61,62,67,74,74,79,80,91,93,99
IRL,53,-8,5,6,7,13,14,15,17,18,19,19,24,31,32,32,33,41,44,44,48,56,57,59,59,66,68,71,71,75,79,79,83,85,92,92,92,99
IRN,32,53,1,1,3,5,11,11,16,22,26,27,27,38,39,45,47,51,53,53,58,62,63,64,65,65,66,66,66,71,71,79,80,84,87,88,91,95
IRQ,33,44,2,2,4,4,7,9,11,12,14,19,22,22,26,27,36,40,41,41,44,45,49,50,57,58,60,62,65,70,77,78,80,85,87,89,93,96
ISL,65,-18,3,11,12,14,15,19,27,33,34,36,37,37,43,43,53,54,55,59,59,60,60,60,67,69,69,72,74,74,76,78,80,82,90,94,94,95
ISR,31.5,34.75,1,2,4,6,7,10,12,21,24,33,33,34,37,41,43,51,54,56,58,64,65,65,67,73,73,73,76,77,77,80,82,90,91,92,92,99
ITA,42.83333,12.83333,5,10,14,17,17,25,26,28,29,34,38,38,43,44,47,47,49,52,57,63,66,68,70,74,74,76,85,86,86,88,90,91,91,95,96,98
JAM,18.16667,-77.25,3,5,5,11,11,12,13,19,20,21,26,27,29,29,29,30,40,43,46,53,57,59,68,68,74,79,80,81,86,88,89,90,91,93,95,96
JEY,49.21667,-2.11667,1,3,4,6,7,10,20,21,23,27,28,30,30,32,32,42,48,55,55,55,61,63,65,70,74,74,74,75,76,78,87,93,93,94,95,97
JOR,31,36,1,1,2,9,13,16,17,20,24,24,26,32,33,33,38,41,44,44,46,47,47,51,61,61,67,69,77,78,85,87,88,91,94,95,97,99
JPN,35.68536,139.75309,1,6,8,8,8,9,15,16,17,18,18,20,21,27,33,33,35,35,35,39,42,43,49,54,58,63,65,65,68,69,78,80,82,83,96,98
KAZ,48,68,2,3,3,3,4,5,8,9,9,13,14,16,17,28,29,35,38,39,43,46,48,50,53,56,56,58,61,69,75,75,75,76,88,89,93,99
KEN,1,38,1,2,11,14,17,23,25,28,28,30,32,43,44,45,50,51,54,55,59,60,63,64,71,82,83,86,87,88,88,89,89,89,90,92,95,96
KGZ,41.5,75,1,3,9,10,12,14,15,20,21,23,26,28,29,35,37,39,43,50,52,52,52,53,54,55,67,72,72,72,74,75,81,84,90,92,95,98
KHM,13,105,2,4,16,20,20,21,23,24,26,26,27,29,31,33,34,36,43,50,51,52,53,55,63,68,73,73,76,76,78,82,86,87,88,91,97,99
KIR,1.421,172.984,2,6,6,7,12,13,23,23,24,26,28,32,33,35,37,37,38,38,38,41,51,55,59,60,61,61,62,67,70,75,83,87,89,89,98,98
KNA,17.33333,-62.75,5,12,13,14,16,17,18,21,24,25,26,28,31,33,34,38,40,40,42,49,51,54,56,59,62,66,68,69,69,70,81,84,87,88,96,99
KOR,36.5,127.75,2,8,8,14,15,18,18,22,24,26,27,29,29,30,33,36,38,43,45,51,58,60,64,65,67,67,83,84,86,88,93,93,94,96,97,98
KOR,36.5,127.75,3,5,8,8,10,11,16,17,23,24,24,26,27,29,31,34,38,40,43,43,45,47,54,55,55,56,61,61,61,71,73,73,87,88,88,93
KWT,29.36972,47.97833,4,5,7,7,12,12,14,15,18,20,29,36,36,40,47,47,47,48,53,56,58,58,60,65,67,74,76,78,79,83,83,87,88,90,97,98
LAO,18,105,5,8,8,13,14,17,19,24,25,36,39,40,42,47,52,53,56,58,59,61,63,71,73,74,75,80,81,83,86,86,89,91,96,97,97,97
LBN,33.83333,35.83333,1,1,2,4,5,8,9,10,13,14,19,22,22,33,33,36,37,39,39,40,47,51,55,57,60,65,69,73,76,78,81,82,92,93,97,98
LBR,6.5,-9.5,3,5,9,10,10,10,13,14,17,22,25,26,29,30,32,32,35,37,41,41,41,42,43,47,53,57,69,73,77,78,80,81,90,90,98,98
LBY,28,17,7,7,12,12,13,13,18,20,25,29,31,34,35,38,39,44,49,49,52,52,53,55,56,66,66,69,72,73,75,86,87,89,91,92,96,96
LBY,28,17,2,3,7,7,7,8,10,14,16,22,24,26,30,40,41,41,48,50,51,51,57,58,65,71,75,77,77,78,81,82,87,90,93,93,96,97
LCA,13.88333,-60.96667,2,4,8,14,15,19,19,24,25,27,30,33,33,34,37,40,44,48,48,51,54,55,56,62,64,70,70,71,72,75,78,82,86,91,94,96
LIE,47.16667,9.53333,4,5,8,9,12,14,16,28,28,31,35,35,38,38,38,39,44,45,47,51,53,64,64,64,71,74,75,75,79,80,81,88,89,91,96,98
LKA,7.75,80.75,6,9,9,11,14,16,22,23,24,25,26,29,34,35,35,38,39,39,41,44,47,50,52,71,72,73,73,74,78,81,83,85,85,86,97,98
LSO,-29.5,28.25,8,12,12,12,14,18,18,25,35,36,39,40,50,51,52,54,55,57,59,61,67,70,71,72,72,73,78,79,81,81,85,86,87,90,95,97
LTU,55.41667,24,4,4,4,11,16,18,20,21,25,31,32,36,39,43,44,47,54,56,56,61,62,66,67,68,72,74,75,77,78,81,86,87,91,96,99,99
LUX,49.61167,6.13,2,4,4,6,13,15,17,19,22,23,25,32,33,35,39,43,46,46,47,53,57,58,59,59,67,72,72,78,82,84,87,89,90,91,94,99
LVA,57,25,3,3,5,7,9,10,25,28,34,34,35,39,47,48,52,52,55,59,61,64,64,66,72,73,78,81,84,85,87,87,88,89,92,93,94,98
MAC,22.20056,113.54611,1,5,5,5,6,17,20,29,33,33,42,46,46,47,54,55,59,64,66,68,69,69,75,77,77,77,82,82,83,83,86,88,88,94,97,99
MAR,32,-6,1,4,9,11,13,13,14,15,16,16,23,25,25,38,41,46,47,47,49,49,56,59,64,65,68,72,72,72,75,76,77,78,79,86,91,95
MCO,43.73333,7.41667,6,9,9,24,31,32,37,37,38,39,41,47,47,48,51,57,59,64,65,69,81,82,82,83,84,84,84,88,88,89,90,91,92,92,93,99
MDA,47.25,28.58333,2,5,5,6,18,19,26,26,27,28,30,31,33,35,42,43,45,46,47,47,56,56,64,72,72,73,77,80,81,82,83,84,88,90,94,97
MDG,-20,47,11,12,15,16,18,23,24,28,33,35,36,49,56,61,62,66,66,66,67,73,73,74,74,77,79,83,85,85,85,86,88,90,90,90,92,97
MDV,3.2,73,3,6,7,9,10,11,11,13,14,26,28,28,39,39,44,53,53,55,57,58,59,68,69,70,74,79,83,90,90,91,91,95,96,97,99,99
MEX,19.42847,-99.12766,1,3,4,5,8,11,11,12,16,23,24,25,27,30,31,33,35,35,39,42,44,47,52,53,59,64,70,75,76,77,79,79,82,86,99,99
MHL,7.113,171.236,2,5,8,8,12,19,19,20,23,25,25,26,27,29,32,33,36,37,44,44,45,48,48,49,50,56,58,60,69,69,80,92,94,94,99,99
MKD,41.66667,21.75,7,12,12,13,15,15,18,21,22,23,24,27,27,27,29,32,33,40,40,43,50,62,66,70,71,73,76,80,81,81,85,85,86,87,90,95
MLI,18,-2,1,1,11,14,22,23,24,24,26,28,32,32,34,35,35,37,47,47,50,51,52,54,55,66,67,72,73,73,74,77,80,84,87,89,90,98
MLT,35.91667,14.43333,8,14,17,17,18,19,20,20,21,29,32,35,35,35,41,43,44,47,53,55,57,60,66,67,70,72,77,78,80,82,83,91,91,93,94,95
MMR,21,96,3,5,7,8,8,14,17,19,20,22,22,32,32,35,37,38,38,41,43,49,50,67,70,70,73,74,76,78,78,79,80,84,88,94,96,98
MMR,21,96,4,4,4,7,10,16,19,23,25,26,31,32,40,41,41,44,45,50,55,56,56,58,61,65,76,76,77,81,82,85,85,85,89,90,92,97
MNE,42.75,19.25,1,3,4,5,5,10,11,16,21,31,33,35,35,48,49,54,54,57,60,62,67,73,73,76,78,80,83,85,86,87,87,88,90,92,97,98
MNG,46,105,8,9,11,14,15,15,25,31,31,32,32,33,34,34,38,43,43,55,56,61,62,64,66,70,73,75,80,81,83,84,87,91,93,98,98,98
MNP,15.214,145.756,2,4,6,7,7,8,12,18,19,20,21,22,28,33,36,40,45,45,48,51,55,57,64,67,71,74,76,77,77,84,85,85,85,86,89,99
MOZ,-18.25,35,2,5,7,12,12,18,18,18,26,35,38,39,40,40,44,44,44,45,49,55,59,61,65,67,68,69,69,79,86,92,92,94,96,97,97,98
MRT,20.25,-10.5,1,1,3,4,6,11,11,15,18,21,21,23,23,23,25,29,35,38,42,42,44,45,48,51,51,59,59,63,67,70,77,77,82,83,87,99
MSR,16.75,-62.2,1,8,13,15,15,19,24,29,32,41,42,42,51,53,55,57,58,62,65,66,66,67,67,77,82,82,86,86,87,88,90,92,98,98,99,99
MTQ,14.66667,-61,9,13,15,17,19,21,29,30,37,37,41,44,47,49,49,50,50,52,53,55,55,56,59,60,61,65,65,67,68,68,70,74,88,95,98,98
MUS,-20.3,57.58333,1,1,5,10,10,15,16,18,18,21,21,22,22,24,28,32,33,33,39,41,44,48,53,57,62,63,64,71,74,79,81,82,89,91,92,94
MWI,-13.5,34,1,13,14,15,17,23,23,24,25,25,27,32,36,38,39,47,49,53,54,55,68,68,77,78,82,85,86,87,87,87,89,91,91,93,95,99
MYS,2.5,112.5,3,3,6,13,15,18,19,22,23,24,33,34,38,40,42,45,54,55,55,56,57,60,60,60,65,66,67,71,79,85,88,94,95,97,97,98
MYT,-12.83333,45.16667,2,3,4,5,7,13,15,16,29,30,30,30,32,33,35,41,42,43,43,44,48,48,51,52,53,64,80,85,87,89,91,91,91,94,98,99
NAM,-22,17,2,3,5,8,10,13,16,16,22,22,23,23,25,25,29,31,33,42,44,47,47,49,56,64,64,68,75,75,75,77,81,82,84,86,97,98
NCL,-21.5,165.5,13,16,19,22,22,28,29,31,33,34,36,37,40,42,43,43,47,52,52,54,58,61,62,62,73,82,83,84,87,89,89,94,97,97,98,98
NER,18,9,10,10,10,11,11,14,16,17,26,29,31,33,34,37,38,45,54,57,63,66,67,69,73,74,75,78,80,82,83,91,92,93,93,97,98,99
NFK,-29.03333,167.95,7,9,10,11,12,12,12,19,23,25,30,31,33,38,47,50,53,59,61,63,64,66,67,67,68,72,76,78,78,85,88,92,92,93,97,99
