Name,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ATG,4,4,12,13,13,16,19,24,29,29,31,31,34,36,38,39,40,51,57,58,64,64,66,68,74,74,75,77,78,83,84,85,86,91,92,99
AUS,1,9,10,14,15,17,23,26,27,38,40,41,43,45,50,52,52,55,59,60,62,63,63,68,70,71,72,78,78,81,86,87,89,90,94,97
AUT,6,7,10,12,15,23,30,32,35,36,40,41,41,46,49,50,53,54,58,59,59,63,66,66,67,69,70,74,74,76,78,78,79,83,89,92
AZE,2,4,8,9,10,11,15,19,20,22,23,26,27,28,33,35,37,42,42,45,47,48,49,49,51,53,59,59,60,61,62,66,76,81,85,95
BDI,4,15,22,22,30,33,34,40,43,45,46,46,49,51,53,54,57,62,63,64,64,73,76,76,79,79,79,80,82,83,85,85,87,90,91,94
BEL,9,9,11,14,17,18,18,19,24,25,26,26,29,31,31,32,34,36,39,40,42,42,42,46,46,60,62,68,70,75,77,80,91,93,94,96
BEN,2,3,7,7,12,13,19,24,27,27,27,31,31,35,37,42,42,43,45,52,58,60,60,63,63,64,71,72,76,78,82,86,89,92,96,98
BFA,4,5,5,6,9,10,13,13,17,19,23,31,33,34,36,37,40,45,46,54,64,64,66,68,69,70,73,78,82,83,86,86,88,90,93,94
BGD,4,4,5,8,8,16,20,21,21,21,22,28,30,32,33,35,36,39,43,54,62,66,72,76,80,84,88,88,88,89,89,90,90,91,93,93
BGR,4,4,14,22,25,25,26,31,38,42,43,44,45,45,46,47,50,53,56,63,64,66,69,74,75,76,77,79,79,81,83,85,90,92,97,98
BHR,4,10,14,14,18,20,20,23,24,26,35,37,46,47,51,52,55,55,56,58,58,60,60,61,63,67,67,69,74,79,80,81,85,93,98,98
BHS,1,2,5,6,7,7,14,15,22,22,22,24,24,25,26,26,27,32,34,36,41,52,58,65,70,74,75,80,86,86,89,93,94,96,98,99
BIH,1,3,7,8,8,12,16,24,25,27,28,33,35,36,36,36,49,50,53,59,60,63,64,69,71,73,76,76,77,87,87,89,89,91,91,97
BLR,9,9,10,11,14,16,17,20,24,26,29,30,34,40,44,44,45,47,50,52,54,55,55,58,61,61,64,72,77,79,80,82,83,83,87,89
BLZ,1,7,11,11,12,12,14,19,20,23,24,26,26,26,31,43,44,49,50,51,53,58,64,65,66,67,68,70,73,73,74,77,82,89,91,93
BMU,3,7,11,11,13,16,20,20,22,25,28,29,34,38,39,43,45,49,51,55,63,63,65,73,75,76,77,78,78,81,82,85,85,87,92,97
BOL,12,12,16,17,20,22,25,26,28,30,35,36,36,37,37,41,46,46,56,60,60,62,62,65,71,74,75,76,76,77,80,85,90,90,91,96
BOL,1,5,6,14,21,27,34,34,36,39,42,44,45,47,50,55,59,59,59,60,63,64,67,68,70,75,77,79,82,82,88,88,93,93,94,97
BRA,1,8,10,13,14,15,17,18,18,20,21,23,25,27,29,31,39,40,42,45,46,48,49,50,50,52,62,64,76,76,80,84,86,94,96,97
BRB,3,5,7,7,7,10,11,11,13,20,21,23,29,29,31,32,36,38,41,41,43,46,48,55,56,57,65,66,74,75,77,78,80,83,87,95
BRN,3,6,11,16,17,22,26,28,31,36,38,40,41,46,46,51,54,57,58,58,60,61,61,63,63,65,66,71,73,76,82,89,90,93,95,97
BRN,3,4,4,4,5,6,8,10,21,25,27,28,31,36,43,44,44,46,47,50,50,51,52,57,60,61,65,69,72,72,79,82,84,92,93,93
BTN,5,9,10,15,18,20,22,23,24,26,28,32,34,37,38,38,53,54,55,55,59,63,64,64,67,75,76,78,78,82,83,86,88,93,99,99
BVT,2,4,5,5,15,17,22,23,25,25,25,25,26,27,34,36,37,41,42,46,50,51,54,59,64,65,68,69,71,72,81,83,84,86,87,92
BWA,5,6,7,12,12,15,16,16,17,19,21,23,31,34,35,36,39,43,43,45,47,51,63,64,66,80,81,81,86,89,90,90,91,92,92,99
CAF,4,5,8,10,12,21,21,22,28,35,35,35,36,38,38,39,44,44,47,49,55,56,57,60,60,65,72,78,78,81,86,87,92,96,97,97
CAN,1,1,2,3,11,15,18,18,20,22,25,28,41,44,49,51,52,53,54,56,57,60,63,67,69,70,73,81,84,85,87,88,93,96,97,98
CCK,6,8,9,10,15,17,25,25,26,26,26,43,45,47,48,49,57,58,59,65,67,68,69,70,79,80,84,86,90,90,91,93,93,97,98,99
CHE,3,3,6,6,7,8,10,10,15,17,20,23,23,25,39,40,40,46,46,48,56,59,68,69,72,72,72,76,77,77,89,89,91,92,93,98
CHL,3,5,10,11,12,13,15,17,20,21,26,33,33,34,35,36,38,45,48,52,55,60,61,64,67,77,79,79,85,87,89,90,95,97,97,98
CHN,2,3,7,10,11,16,21,23,24,26,28,28,29,38,38,38,39,40,42,45,46,50,52,53,53,59,64,67,68,70,74,77,77,82,93,96
CIV,3,6,7,12,20,22,25,25,26,39,41,42,48,49,50,50,53,53,54,59,59,66,67,68,70,76,76,77,83,84,90,91,92,93,93,99
CIV,2,2,4,5,15,18,19,21,33,34,40,41,44,47,48,48,48,53,55,64,65,67,69,73,75,79,84,89,90,90,90,91,94,98,98,99
CMR,1,2,7,8,8,9,21,21,26,27,30,32,35,37,38,44,45,46,47,50,51,56,57,57,64,67,72,72,74,77,84,86,89,90,91,93
COD,3,5,6,7,8,11,12,18,21,25,28,28,30,32,37,37,39,40,45,51,54,54,58,64,66,71,72,78,82,84,85,86,87,90,91,98
COG,1,3,7,8,18,19,22,26,27,32,33,42,44,45,45,47,48,56,57,59,67,72,73,74,79,81,82,83,86,87,94,95,96,96,97,97
COK,1,12,12,14,20,22,22,24,34,37,39,42,49,50,51,57,58,58,59,64,68,68,73,75,78,80,80,83,83,87,88,94,97,98,98,99
COL,1,4,7,9,9,15,16,18,30,31,32,33,37,41,41,41,44,45,53,56,56,60,60,64,68,74,77,81,85,85,86,87,89,92,99,99
COM,3,6,6,9,16,17,18,22,28,30,30,31,38,41,43,47,51,55,56,60,62,68,71,71,71,72,73,73,73,80,83,87,88,89,94,94
CPV,8,9,11,14,16,17,18,20,22,24,25,34,34,35,36,37,43,44,45,50,52,57,63,65,68,71,72,77,83,83,84,87,90,90,91,97
CRI,2,6,7,8,15,24,29,36,37,38,41,47,48,54,55,55,56,56,63,64,64,65,70,73,77,79,83,89,90,90,92,94,96,96,98,99
CUB,5,8,8,9,11,12,13,14,16,23,23,32,38,41,43,48,48,50,50,52,53,58,63,63,63,70,71,74,78,79,86,86,90,97,98,99
CXR,2,6,8,10,10,12,15,18,19,20,25,25,29,32,36,38,39,41,46,46,51,51,56,64,68,68,74,81,83,87,88,88,92,92,96,97
CYM,1,4,5,7,9,13,16,18,18,23,27,29,33,34,35,35,39,40,52,52,54,57,59,62,67,72,73,74,74,78,85,89,90,93,98,99
CYP,2,3,3,4,6,11,11,13,17,17,25,26,29,44,46,47,50,52,55,55,56,63,63,64,64,67,68,69,70,72,76,77,81,90,93,94
CZE,4,4,6,9,12,14,21,21,30,30,32,35,36,39,41,42,49,49,50,51,52,61,62,63,68,69,72,75,76,76,76,83,85,85,89,90
DEU,1,2,6,6,7,13,17,20,24,27,29,33,34,37,42,42,42,47,50,51,51,53,56,59,61,68,69,71,72,72,72,75,78,88,90,99
DJI,4,6,8,8,12,12,15,28,30,34,34,35,35,36,36,38,38,40,43,44,47,51,51,53,53,60,62,66,67,74,75,82,83,94,96,96
DMA,7,12,13,15,16,17,18,19,21,21,26,28,28,30,31,31,33,37,39,39,47,52,53,54,57,67,69,76,85,86,89,91,92,92,94,95
DNK,5,8,11,12,13,14,17,17,17,19,23,27,29,34,41,46,47,50,65,67,69,70,70,71,75,78,78,84,87,87,88,90,95,96,99,99
DOM,3,4,7,13,14,16,17,18,22,23,24,24,25,28,32,37,41,42,42,44,46,48,58,58,64,64,65,67,70,74,75,83,92,95,96,97
DZA,4,5,7,7,8,9,11,12,15,26,34,39,42,42,45,46,49,50,53,56,60,60,68,68,69,72,72,73,75,77,79,82,83,86,88,88
ECU,1,3,3,3,4,5,10,13,15,17,17,18,18,27,30,31,32,32,36,43,47,52,58,58,60,60,74,75,76,76,79,80,80,85,88,89
EGY,1,2,3,6,8,22,29,32,38,38,45,47,50,51,52,55,57,58,58,59,63,64,66,69,71,74,79,80,81,83,87,88,88,91,97,98
ERI,11,14,14,15,15,19,19,19,20,28,28,29,31,33,33,36,40,47,49,50,52,59,62,64,65,74,74,76,79,83,84,88,93,96,97,98
ESH,1,9,10,12,17,18,18,20,22,23,23,24,24,25,26,27,27,28,31,33,33,39,43,44,50,52,54,56,67,68,75,81,87,91,91,95
ESP,4,9,14,14,15,16,20,22,24,25,32,33,34,45,52,58,58,59,59,60,61,62,66,68,69,72,72,74,81,83,91,91,92,94,98,98
EST,2,6,6,7,7,8,9,14,17,22,24,26,27,28,29,34,34,37,41,42,45,49,54,57,58,60,61,66,82,85,93,94,94,96,97,99
ETH,5,7,7,12,12,17,24,26,27,28,31,33,38,40,45,45,46,46,53,55,55,63,63,65,66,74,80,82,82,89,91,91,91,92,97,99
FIN,3,4,6,6,6,8,13,15,18,19,20,24,27,29,29,30,33,41,42,44,53,53,58,63,68,70,74,77,81,83,84,86,95,95,96,99
FJI,1,2,4,9,10,11,15,16,16,20,22,23,25,30,38,40,43,47,48,51,52,64,67,69,69,72,73,74,80,82,82,83,86,86,92,99
FLK,2,3,8,20,21,23,24,25,32,34,35,38,41,43,46,47,50,50,51,52,53,55,60,64,65,67,68,74,76,76,79,80,82,84,90,94
FRA,3,6,7,13,16,18,25,25,25,27,29,32,36,39,44,46,48,50,51,54,54,59,61,64,66,66,70,71,80,83,88,88,89,92,93,99
FRO,1,2,3,9,16,18,19,19,22,24,26,29,40,40,49,50,51,51,52,53,55,57,58,59,62,62,63,65,65,66,67,73,74,82,92,96
FSM,3,10,12,14,15,18,19,21,22,24,46,49,54,55,61,62,62,65,66,68,68,71,77,78,78,78,79,80,83,83,84,88,89,91,92,97
GAB,2,5,9,11,12,19,22,30,30,33,33,33,37,43,43,47,49,49,49,57,60,60,60,66,70,74,79,80,85,86,88,90,90,92,92,99
GBR,4,7,8,12,13,16,18,18,18,19,20,22,30,33,35,42,43,44,44,52,54,56,58,66,69,71,71,75,77,81,83,84,86,89,93,96
GEO,1,3,4,4,10,13,18,24,26,30,33,37,42,43,44,49,54,54,54,56,58,60,69,73,77,80,87,89,90,91,91,96,98,99,99,99
GGY,2,7,8,10,16,18,22,24,30,32,38,40,43,45,49,50,51,51,54,54,57,59,59,65,75,76,77,80,83,85,87,90,93,93,98,99
GHA,2,5,8,18,22,29,30,30,33,34,35,35,35,37,43,51,52,56,60,62,64,68,68,68,69,72,74,75,76,78,79,84,85,87,90,99
GIB,1,4,5,10,18,22,24,25,28,28,31,35,38,40,42,44,45,47,47,51,52,52,56,57,60,65,70,70,82,91,91,92,93,95,97,99
GIN,6,7,7,10,13,14,16,17,18,20,20,29,32,34,34,36,39,44,46,49,50,54,55,60,62,70,71,73,75,78,81,82,87,88,91,93
GLP,3,8,10,10,11,21,23,27,29,34,34,37,46,48,49,54,55,57,57,62,65,67,68,71,71,74,76,79,80,81,84,88,90,93,95,97
GMB,1,3,4,5,11,12,15,16,26,26,26,27,28,34,34,35,40,41,45,51,52,54,57,57,59,59,62,64,66,70,70,78,80,88,89,90
GNB,3,7,10,12,20,22,22,22,27,29,31,32,35,36,39,44,48,48,48,50,53,55,55,59,59,59,67,70,72,79,82,85,86,96,97,97
GNQ,1,7,8,10,15,16,16,16,17,18,19,24,25,25,27,31,31,32,41,42,45,51,56,57,59,68,73,79,81,87,90,95,96,97,97,99
GRC,7,8,10,10,12,13,13,15,18,18,20,21,21,26,29,36,40,44,45,51,51,60,61,64,65,70,74,74,78,81,87,90,92,95,96,97
GRD,2,3,5,10,10,20,21,22,26,32,35,36,37,39,39,40,42,43,44,55,56,56,61,62,65,67,76,76,84,85,85,87,90,94,96,97
GRL,1,3,6,7,7,8,12,12,17,18,19,19,20,20,21,22,24,32,35,40,46,48,48,53,58,62,66,69,76,76,78,79,82,84,89,92
GTM,1,7,7,7,11,17,17,29,30,30,43,48,49,52,52,56,58,67,67,68,68,74,78,80,80,81,82,89,89,90,92,96,96,99,99,99
GUF,1,1,8,8,9,9,9,9,12,13,15,23,23,24,25,26,30,32,34,35,36,45,50,53,53,55,58,65,66,75,85,86,88,92,95,98
GUM,2,11,14,15,16,18,23,24,25,37,39,40,43,50,54,54,56,58,58,61,67,67,67,68,69,70,71,78,82,86,87,90,92,94,95,96
GUY,1,6,14,17,18,22,26,26,29,30,32,37,42,44,46,48,50,51,57,57,59,62,64,66,67,68,72,73,76,79,80,85,87,88,90,99
HKG,4,4,5,6,8,8,8,9,11,15,20,20,27,36,40,40,47,52,54,54,62,63,63,70,70,77,77,78,79,81,82,88,88,91,92,96
HMD,1,4,5,7,10,12,12,14,16,18,18,24,26,29,29,31,32,37,38,39,41,50,57,59,60,61,65,67,67,75,76,88,92,96,97,99
HND,1,3,5,8,12,20,31,35,39,40,41,42,47,47,48,48,49,51,54,56,62,67,67,70,74,79,79,79,81,82,83,85,88,93,95,99
HRV,1,3,6,12,13,18,18,19,26,26,34,42,43,46,47,48,48,51,51,54,54,56,59,64,66,66,67,68,79,83,86,87,89,89,97,98
HTI,3,4,6,10,12,24,29,29,30,30,33,38,40,40,42,43,52,55,59,62,63,67,74,75,83,83,85,86,91,92,92,94,95,95,98,99
HUN,3,8,10,12,15,17,22,28,36,39,43,46,46,47,49,51,53,58,58,59,59,60,63,65,71,73,76,79,80,81,82,82,84,86,89,97
IDN,4,14,15,19,21,22,22,24,24,26,29,30,31,38,41,41,42,44,48,62,64,65,66,70,73,80,83,85,85,85,87,87,88,89,90,92
IMN,10,11,14,15,28,30,40,41,44,44,44,46,47,51,51,53,53,56,57,59,59,60,61,70,73,81,86,89,90,92,92,93,93,93,97,97
IND,3,4,6,11,12,17,17,21,22,28,36,38,43,45,46,46,47,52,54,57,57,58,62,66,67,69,70,70,81,84,85,86,88,92,95,96
IOT,1,8,12,16,17,17,20,22,22,24,27,29,32,37,37,41,44,46,53,56,58,58,59,67,69,69,69,69,72,74,78,82,85,89,89,94
IRL,2,4,5,7,8,11,11,11,12,19,23,23,29,39,40,45,45,45,45,46,47,54,56,64,67,67,74,76,84,85,85,89,90,96,97,97
IRN,7,12,17,21,22,23,32,33,40,41,45,46,47,47,48,54,55,58,59,59,62,65,73,80,81,83,84,86,87,87,87,88,89,92,93,96
IRQ,11,12,13,15,16,17,23,24,25,26,27,29,31,34,40,51,53,53,55,56,59,62,62,64,68,68,68,71,73,74,75,77,84,84,86,90
ISL,1,4,5,6,9,10,12,13,15,18,23,24,25,26,28,31,37,39,43,44,56,59,60,68,73,75,76,79,80,82,84,85,89,94,96,98
ISR,3,4,7,14,16,17,17,17,19,21,21,31,33,34,35,35,38,41,49,53,57,60,67,69,73,75,76,80,82,82,90,90,94,95,98,99
ITA,1,3,5,6,10,13,14,15,15,19,24,29,31,32,33,36,37,37,39,41,41,43,52,53,55,55,63,66,67,69,70,76,84,89,93,93
JAM,3,6,10,11,23,25,25,27,31,32,38,41,41,42,44,47,52,52,52,55,58,59,63,64,69,70,72,75,76,82,82,89,91,95,97,97
JEY,2,4,5,8,10,15,15,24,25,25,26,26,26,31,33,34,43,45,47,49,49,50,50,52,53,61,61,63,64,76,81,85,92,94,98,99
JOR,2,3,6,6,6,8,11,14,18,24,25,27,34,37,39,39,39,50,58,67,73,73,75,76,77,80,81,82,82,85,85,86,88,95,96,96
JPN,2,2,7,9,11,11,16,23,30,34,34,36,37,37,39,44,48,59,60,62,62,63,69,69,76,79,80,82,87,89,89,92,97,98,99,99
KAZ,1,1,1,1,2,4,7,16,16,20,22,25,26,28,28,32,32,34,38,42,47,55,57,59,68,69,70,77,78,83,87,89,91,95,96,99
KEN,2,4,5,7,13,15,15,17,18,23,24,24,26,30,31,36,38,41,42,42,56,59,68,68,74,75,80,81,82,83,84,85,86,91,93,96
KGZ,3,9,12,14,15,16,19,25,25,29,33,34,37,41,42,46,47,47,52,52,64,70,73,74,74,75,77,77,80,80,82,83,85,85,89,99
KHM,3,5,5,7,14,17,18,19,25,27,36,37,38,41,43,47,48,54,57,58,60,60,63,68,72,74,76,76,76,79,84,84,86,87,89,91
KIR,6,8,15,20,27,29,32,36,38,39,43,45,46,46,46,47,50,50,55,57,58,59,61,61,62,63,67,70,74,74,75,78,83,84,84,90
KNA,4,6,12,13,23,25,26,36,36,37,39,40,40,43,50,52,55,56,59,63,65,65,66,66,72,73,75,81,85,86,88,90,91,92,93,97
KOR,3,3,4,6,13,13,15,15,18,24,24,29,30,31,35,38,39,40,40,50,52,54,56,57,59,62,63,72,73,73,76,85,87,87,88,91
KOR,3,4,10,11,15,16,17,24,27,30,40,41,48,49,49,52,52,59,62,64,65,67,67,72,76,79,79,85,88,89,91,91,94,96,96,99
KWT,2,7,9,10,12,17,17,23,23,30,32,35,36,39,39,40,42,42,43,45,49,54,55,57,60,70,75,76,79,83,86,86,86,86,88,95
LAO,5,6,8,9,14,22,23,25,30,31,31,35,37,43,43,46,49,49,49,49,53,64,67,67,69,69,73,77,78,78,81,82,86,90,92,92
LBN,3,9,14,16,20,22,27,36,39,39,42,45,46,47,51,53,60,63,63,65,68,68,72,75,77,78,79,81,83,83,84,86,87,89,90,97
LBR,1,2,4,9,12,12,15,19,19,23,25,29,31,32,33,38,39,43,45,47,47,52,53,54,54,56,57,70,74,75,76,78,80,81,90,99
LBY,5,13,13,18,21,22,22,23,31,33,35,38,41,41,42,42,48,50,51,51,54,57,67,74,78,78,82,82,84,87,89,94,94,95,98,98
LBY,4,5,9,14,14,15,16,17,22,28,28,32,34,37,39,42,48,50,53,53,54,55,57,58,59,70,71,72,79,89,90,93,95,95,95,97
LCA,2,4,5,5,9,17,18,20,20,24,27,28,30,31,33,33,34,36,40,44,52,52,59,63,63,63,68,74,77,78,80,82,85,91,97,99
LIE,2,4,5,5,7,9,15,16,17,18,22,24,26,26,29,38,47,49,49,51,58,58,58,59,62,63,72,72,74,76,76,77,81,92,97,99
LKA,4,5,8,19,21,25,26,30,33,33,36,42,44,45,57,58,64,65,68,70,73,76,77,77,78,78,78,79,79,81,81,81,82,84,86,92
LSO,3,5,11,12,15,16,17,21,22,22,32,37,43,49,49,55,57,57,64,64,68,69,70,71,72,76,79,83,84,85,87,87,89,92,92,93
LTU,1,4,4,9,10,22,24,28,29,30,35,40,40,45,45,48,49,50,50,55,55,62,63,64,66,70,71,73,74,78,78,79,80,81,82,86
LUX,1,2,4,5,9,10,16,22,26,26,26,28,35,37,37,39,40,41,45,51,51,55,58,60,62,70,73,74,78,85,90,91,92,97,98,99
LVA,2,6,11,11,12,15,16,17,18,20,26,26,28,29,29,35,44,45,59,60,64,66,67,68,69,76,77,81,83,83,85,85,86,88,96,99
MAC,2,8,11,12,14,14,22,24,27,28,29,37,47,49,50,51,52,55,56,57,58,59,59,61,63,64,65,67,67,73,79,84,91,93,94,99
MAR,1,2,3,4,7,7,8,13,15,15,17,27,27,31,33,36,39,42,43,52,57,58,58,59,61,62,64,69,74,77,78,78,79,94,96,98
MCO,1,2,4,6,6,14,16,26,26,31,31,34,35,38,39,40,40,40,42,46,46,52,53,57,57,68,72,77,79,79,81,84,91,93,97,99
MDA,2,3,13,14,19,22,22,24,26,26,29,29,34,35,43,44,52,53,54,54,61,65,66,68,71,71,72,74,75,77,81,82,84,90,95,95
MDG,1,4,4,6,11,12,13,14,17,21,21,23,31,34,37,38,38,39,43,48,50,51,53,54,58,65,71,71,80,80,81,86,89,92,92,92
MDV,1,12,14,17,17,19,23,23,26,27,31,31,37,42,44,46,49,51,53,54,61,64,65,66,68,71,72,75,82,83,87,87,87,87,89,94
MEX,4,5,8,14,15,17,19,22,24,25,28,30,31,34,34,40,41,42,43,45,45,46,51,58,62,68,69,71,75,75,79,80,82,92,98,99
MHL,2,4,5,6,6,11,14,15,20,26,28,30,36,38,39,45,45,46,50,56,60,60,61,66,68,69,69,76,78,78,83,88,89,91,94,97
MKD,3,6,8,9,10,12,14,19,21,22,24,25,31,32,33,35,39,44,47,48,59,63,65,67,68,68,70,71,73,79,82,86,87,96,97,99
MLI,2,9,13,21,24,28,29,31,35,36,38,42,44,45,48,48,54,57,59,62,68,69,72,72,72,77,78,79,80,82,88,90,93,95,97,99
MLT,4,13,15,18,23,28,31,36,36,37,41,42,49,51,53,53,54,55,55,56,60,61,63,66,66,67,67,69,75,80,82,94,95,95,95,97
MMR,3,5,7,7,7,10,13,16,16,18,19,21,22,23,28,29,32,33,44,47,51,55,59,62,68,72,73,79,85,87,90,90,92,94,97,98
MMR,2,3,4,5,6,8,13,17,19,21,25,37,44,44,46,54,56,59,60,64,65,72,74,76,77,78,78,79,79,80,80,81,82,86,94,98
MNE,2,5,5,9,10,11,12,12,25,25,30,30,31,32,35,37,38,43,51,53,55,61,62,63,70,72,72,74,76,80,84,90,91,92,97,99
MNG,3,4,7,8,11,17,28,29,30,38,39,41,43,44,44,54,54,61,62,63,64,65,67,68,74,76,81,82,83,90,90,91,93,94,95,99
MNP,3,4,4,6,8,8,9,13,18,28,30,34,36,37,40,42,43,46,48,55,57,60,64,69,71,71,82,86,94,94,95,95,95,97,98,99
MOZ,3,9,13,15,16,17,23,29,30,32,34,34,35,36,38,40,40,46,46,46,46,51,59,59,61,64,68,75,76,77,79,81,82,96,98,98
MRT,2,11,12,13,13,19,26,27,28,32,33,33,36,38,39,40,43,45,48,48,49,51,63,63,66,68,69,70,73,74,81,82,88,90,92,94
MSR,1,3,4,16,17,19,23,26,28,30,30,30,31,32,36,36,39,39,41,45,45,49,53,55,67,69,71,73,76,80,81,83,91,91,95,98
MTQ,10,10,11,16,17,20,25,26,26,27,32,34,37,46,47,50,52,57,61,61,62,64,66,67,68,69,69,72,75,76,81,91,93,98,99,99
MUS,1,1,3,3,5,7,13,19,23,23,28,30,32,33,39,42,47,51,51,53,55,57,57,62,62,63,65,78,80,82,85,86,87,93,96,97
MWI,3,3,4,7,8,10,12,14,17,19,20,26,31,31,35,36,38,40,41,45,45,47,53,56,69,69,70,71,75,75,78,88,88,90,90,92
MYS,2,4,5,9,12,22,23,23,23,24,27,27,30,31,38,39,43,44,46,46,50,51,54,60,63,64,67,74,75,76,78,78,78,82,83,92
MYT,1,3,6,7,7,13,14,17,19,20,21,23,33,46,48,52,53,54,55,59,63,64,66,67,68,71,75,76,78,78,78,79,84,94,95,95
NAM,2,2,5,9,9,13,15,15,16,18,18,18,27,29,33,40,41,42,59,60,60,62,62,67,67,76,82,85,85,86,89,90,90,95,95,95
NCL,2,2,3,5,8,9,12,13,16,23,27,30,33,35,36,40,47,49,58,66,67,68,69,71,73,76,77,77,80,81,85,87,90,90,95,99
NER,1,3,13,17,19,20,23,41,42,42,46,50,52,53,55,58,59,59,60,64,64,65,69,70,70,71,72,73,74,78,83,84,86,89,90,92
NFK,1,3,4,4,8,9,15,18,18,23,24,32,33,34,35,37,40,47,51,58,59,65,66,70,72,74,76,80,86,89,89,91,93,94,97,98
NGA,2,4,5,6,19,23,24,35,38,39,42,44,44,46,49,50,51,51,52,55,56,60,62,69,69,75,78,81,83,85,89,90,90,91,93,94
NIC,3,4,4,6,13,16,21,24,37,38,38,40,41,47,48,49,49,53,55,55,60,65,68,68,70,70,71,73,74,75,78,83,92,93,98,99
NIU,2,5,7,8,18,23,24,28,29,33,38,43,43,45,47,48,51,52,53,58,58,61,63,64,67,72,73,75,77,86,86,89,89,90,94,95
NLD,3,3,3,7,7,10,12,19,20,21,23,33,34,39,40,42,44,45,55,56,58,60,68,71,75,75,78,78,81,81,84,89,92,94,99,99
NOR,1,1,4,4,5,7,10,10,14,17,17,18,19,20,29,30,36,39,42,45,49,49,50,51,55,60,64,64,67,69,84,88,88,91,94,99
NPL,1,5,5,12,15,20,26,27,34,36,38,40,43,43,45,46,48,50,52,53,55,63,64,64,67,69,71,79,80,80,86,87,90,92,97,98
NRU,1,3,4,9,12,15,19,19,20,20,20,21,22,24,28,33,36,38,41,45,45,46,50,61,64,72,74,75,81,83,83,86,88,90,93,93
NZL,2,2,7,9,10,12,13,15,20,21,22,25,29,29,32,35,35,38,42,43,45,54,55,56,58,69,74,75,77,78,82,83,87,88,89,91
OMN,2,11,12,12,12,14,19,19,26,29,31,31,32,35,37,37,51,56,59,62,69,71,76,77,79,79,83,86,87,91,92,94,96,97,98,98
PAK,1,3,3,11,12,22,25,30,31,31,31,33,33,34,35,48,48,55,55,60,60,63,66,68,68,71,73,78,80,81,82,84,89,96,96,97
PAN,8,9,14,15,16,20,22,26,30,31,36,37,41,47,52,54,58,63,67,67,69,69,70,70,72,76,79,80,84,85,85,86,88,92,94,99
PCN,3,4,5,8,15,18,19,19,22,28,29,29,32,35,41,41,44,44,45,50,56,58,67,68,71,73,74,78,86,87,92,92,95,95,97,99
PER,3,3,3,5,18,19,19,20,23,24,27,28,28,34,36,37,43,44,48,50,51,54,59,60,64,66,67,67,70,70,76,81,84,85,86,87
PHL,1,3,7,7,9,9,14,15,19,21,23,32,36,37,39,40,40,46,53,58,58,59,63,65,66,69,80,83,85,85,91,94,95,96,96,96
PLW,19,22,24,27,27,27,27,28,30,31,32,36,37,39,44,45,51,52,60,62,63,65,69,72,72,74,75,80,81,88,89,91,93,96,99,99
PNG,3,10,10,12,12,15,16,16,18,19,20,23,33,33,37,38,39,39,43,45,49,49,50,51,55,61,66,75,86,87,88,92,95,96,96,98
